show_id,title,release_type,genre,language,country,release_year,release_day,duration_minutes,number_of_seasons,total_episodes,budget_million_usd,marketing_spend_million_usd,cast_popularity_score,director_popularity_score,imdb_rating,critic_score,trailer_views_million,social_media_mentions_k,subscription_plan_popularity,watch_hours_million
NFX000016,Digitized bottom-line migration,Movie,Action,German,Canada,2018,Sunday,82,0,1,67.05,21.29,9.46,9.76,7.3,50,53.23,269.54,Basic,277.75
NFX000017,Reduced high-level structure,Movie,Drama,German,South Korea,2022,Thursday,166,0,1,71.86,34.09,3.77,5.88,5.4,55.2,71.6,231.12,Standard,331.28
NFX000018,Multi-layered clear-thinking hub,Movie,Sci-Fi,Japanese,Japan,2026,Wednesday,178,0,1,53.27,23.12,8.15,5.52,6.9,74,53.63,239.55,Basic,301.59
NFX000019,Seamless zero tolerance frame,Series,Documentary,French,UK,2016,Tuesday,125,7,56,9.33,5.11,7.73,9.58,7.6,60.4,19.91,134.67,Standard,216.56
NFX000020,Switchable empowering interface,Movie,Sci-Fi,French,Spain,2015,Friday,113,0,1,10.02,4.01,9.43,7.26,6.9,69.5,20.36,172.67,Standard,168.4
NFX000021,Distributed leadingedge Local Area Network,Series,Documentary,Spanish,India,2026,Tuesday,126,4,48,53.37,21.28,3.67,4.78,5.1,39.5,52.83,182.88,Premium,324.3
NFX000022,Cross-platform holistic attitude,Series,Comedy,German,USA,2019,Sunday,93,3,42,64.76,35.55,1.25,6.21,7.4,75.2,67.19,239.14,Basic,324.24
NFX000023,Optional motivating knowledgebase,Movie,Thriller,German,Japan,2015,Thursday,111,0,1,76.21,18.83,6.61,1.77,6.1,55.8,57.83,224.81,Premium,219.55
NFX000024,Innovative systemic matrix,Movie,Documentary,Korean,Spain,2024,Thursday,95,0,1,48.73,16.06,4.9,7.7,6,58.9,34.74,162.49,Premium,221.42
NFX000025,Re-engineered dedicated success,Series,Fantasy,German,USA,2015,Saturday,119,6,72,35.5,14.1,7.43,6.94,6.6,79.2,40.67,184.19,Premium,264.84
NFX000026,Cross-platform responsive toolset,Movie,Fantasy,German,South Korea,2024,Sunday,137,0,1,39.73,11.53,9.82,2.58,6.4,80.9,37.9,209.99,Premium,236.37
NFX000027,Integrated analyzing analyzer,Series,Comedy,Spanish,UK,2017,Tuesday,114,1,9,46.17,24.72,6.93,2.47,8.6,81.2,48.87,277.88,Standard,294.69
NFX000028,User-friendly stable algorithm,Movie,Romance,Japanese,Canada,2016,Tuesday,124,0,1,87.23,45.3,6.63,8.38,6.2,54.9,91.3,362.88,Premium,420.11
NFX000029,Profit-focused zero tolerance data-warehouse,Movie,Romance,German,Japan,2018,Friday,95,0,1,35.27,10.35,8.6,1.21,6.6,72.8,37.62,177.24,Premium,234.31
NFX000030,Fundamental heuristic parallelism,Movie,Thriller,Spanish,Canada,2022,Tuesday,63,0,1,51.15,17.29,9.71,5.93,9.3,100,53.18,242.03,Premium,282.31
NFX000031,Open-source global database,Movie,Action,Korean,USA,2017,Monday,94,0,1,48.61,12.51,7.12,7.66,8.4,73.3,35.13,246.94,Standard,198.42
NFX000032,Distributed even-keeled encryption,Series,Sci-Fi,English,India,2023,Friday,94,6,54,28.15,9.15,1.1,9.15,5.8,73.3,24,35.56,Basic,201.78
NFX000033,Persevering transitional framework,Movie,Horror,German,USA,2022,Sunday,118,0,1,16.19,9.32,8.03,2.02,6.7,80.4,37.28,186.29,Premium,197.54
NFX000034,Horizontal fault-tolerant neural-net,Movie,Thriller,French,UK,2024,Friday,98,0,1,46.2,8.44,8.4,7.36,8.7,81.7,38.79,135.9,Basic,272.29
NFX000035,Grass-roots next generation toolset,Series,Fantasy,German,Spain,2026,Thursday,131,7,98,30.51,8.06,4.65,6.14,4.5,51.1,28.01,140.78,Basic,208.9
NFX000036,Self-enabling impactful ability,Movie,Romance,Korean,Japan,2015,Saturday,134,0,1,16.6,4.62,8.82,3.01,6.9,72.8,26.23,205.54,Standard,183.37
NFX000037,Virtual didactic help-desk,Series,Fantasy,Korean,USA,2023,Tuesday,164,2,18,69.01,38.34,1.41,3.53,6.9,62.5,61.21,240.67,Basic,342.64
NFX000038,Robust explicit time-frame,Movie,Action,English,Spain,2019,Friday,69,0,1,48.01,12.82,5.08,1.29,4.9,36.9,36.63,150.66,Basic,209.48
NFX000039,Streamlined content-based instruction set,Movie,Drama,English,Japan,2025,Saturday,108,0,1,18.6,10.6,8.79,1.41,8.3,80.7,38.14,173.5,Basic,223.4
NFX000040,Compatible high-level complexity,Movie,Comedy,English,Canada,2019,Wednesday,97,0,1,43.27,17.57,1.57,1.33,4.9,62.1,35.89,132.3,Basic,230.66
NFX000041,Compatible explicit product,Movie,Romance,French,UK,2016,Tuesday,127,0,1,38.74,8.06,9.59,6.46,6.1,52,26.02,217.76,Premium,193.14
NFX000042,Up-sized neutral artificial intelligence,Movie,Horror,Hindi,Canada,2021,Thursday,173,0,1,30.03,10.94,8.48,3.77,6.3,74.2,34.7,215.83,Standard,221.5
NFX000043,Networked logistical interface,Movie,Comedy,English,Japan,2019,Thursday,115,0,1,66.17,21.61,4.94,9.14,5.3,35.6,46.34,230.45,Standard,283.09
NFX000044,Exclusive high-level pricing structure,Series,Documentary,Korean,Canada,2022,Saturday,97,2,16,51.61,26.24,5.13,8.58,7.1,53.6,67.65,199.11,Basic,363.88
NFX000045,Secured regional encoding,Movie,Drama,Korean,Japan,2020,Wednesday,111,0,1,56.2,18.84,8.87,5.64,6.4,66.8,54.73,235.52,Basic,232.61
NFX000046,Customizable tertiary synergy,Movie,Sci-Fi,Hindi,Spain,2025,Thursday,80,0,1,18.97,3.6,2.09,5.15,5,65.7,10.84,38.96,Basic,114.91
NFX000047,Reactive uniform orchestration,Series,Thriller,Spanish,UK,2021,Tuesday,103,2,24,62.03,30.19,2.66,2.88,4.6,27.6,68.57,226.09,Basic,324
NFX000048,Function-based transitional info-mediaries,Series,Fantasy,English,USA,2020,Saturday,60,7,98,29.31,11.15,5.79,1.96,7.4,67.8,34.53,177.54,Premium,282.82
NFX000049,Reverse-engineered maximized support,Movie,Comedy,German,Canada,2015,Tuesday,109,0,1,29.54,16.27,6.34,7.11,6.7,78.8,42.35,175.49,Basic,274.19
NFX000050,Public-key homogeneous circuit,Series,Horror,Korean,India,2018,Sunday,130,3,39,55.78,22.54,4.41,4.04,6.1,44.4,49.28,189.05,Standard,248.45
NFX000051,Triple-buffered multi-tasking solution,Movie,Thriller,Korean,USA,2019,Thursday,130,0,1,60.95,9.29,9.78,5.42,7.7,81.5,37.71,238.1,Standard,281.1
NFX000052,Cross-platform demand-driven moderator,Series,Romance,Korean,Japan,2018,Saturday,111,7,42,43.28,10.13,3.91,4.83,4.3,30.8,30.04,96.65,Premium,233.96
NFX000053,Compatible logistical website,Series,Thriller,Hindi,South Korea,2022,Tuesday,74,2,18,62.64,19.8,5.09,5.94,4.8,49.8,50,172.56,Basic,279.39
NFX000054,Inverse secondary adapter,Movie,Action,English,USA,2020,Friday,126,0,1,73.83,31.21,8.15,1.96,6.9,74.5,71.76,322.87,Standard,352.94
NFX000055,Progressive logistical framework,Movie,Drama,Japanese,USA,2022,Sunday,126,0,1,55.64,28.36,8.43,2.68,7.3,62.7,66.54,308.77,Basic,379.28
NFX000056,Optional mission-critical migration,Movie,Comedy,French,Canada,2019,Tuesday,88,0,1,61.5,21.38,4.39,5.16,7.2,59.4,47.34,189.35,Standard,294.18
NFX000057,Up-sized systemic open architecture,Movie,Sci-Fi,Japanese,Spain,2018,Monday,88,0,1,49.71,10.07,9.46,6.65,8.5,81.8,39.59,227.27,Premium,274.29
NFX000058,Balanced tangible algorithm,Movie,Documentary,French,Spain,2020,Friday,119,0,1,46.64,27.94,7.77,7.36,6.9,74.3,61.29,317.03,Premium,315.74
NFX000059,Multi-channeled dynamic moratorium,Series,Romance,Hindi,Japan,2024,Saturday,131,3,27,70.74,15.38,3.06,7.5,5.8,68.8,25.64,143.8,Standard,217.09
NFX000060,Expanded leadingedge moderator,Movie,Romance,Korean,India,2026,Saturday,72,0,1,34.74,10.57,3.05,4.81,6.5,62.8,22.93,122.04,Premium,223.8
NFX000061,Pre-emptive background contingency,Series,Horror,Spanish,Canada,2019,Monday,157,6,48,80.64,45.57,7.37,2.37,6.9,79.8,97.69,385.97,Basic,503.58
NFX000062,Up-sized composite encryption,Series,Comedy,English,Spain,2017,Tuesday,123,5,70,60.62,35.96,8.55,2.12,9.1,84.6,85.13,353.52,Premium,494.51
NFX000063,Front-line cohesive service-desk,Series,Thriller,Spanish,USA,2025,Tuesday,101,3,24,62.04,34.99,4.12,4.12,3.5,48.4,73.58,241.14,Standard,374.39
NFX000064,Mandatory zero-defect service-desk,Series,Thriller,Korean,Canada,2025,Friday,82,4,52,31.04,13.49,1.12,6.97,5.4,74.6,26.82,98.02,Premium,218.7
NFX000065,Extended clear-thinking synergy,Series,Fantasy,English,Japan,2020,Sunday,117,1,8,33.66,12.14,6.62,4.4,7.7,86.3,42.03,118.95,Premium,169.6
NFX000066,Robust real-time projection,Series,Comedy,Hindi,South Korea,2015,Monday,105,2,16,20.19,9.98,1.93,4.01,5.4,45.1,30.59,107.54,Basic,214.3
NFX000067,Sharable interactive superstructure,Movie,Romance,Spanish,Spain,2022,Tuesday,130,0,1,12.55,2.99,5.55,6.36,7,55,17.2,120.76,Premium,159.77
NFX000068,Self-enabling zero-defect application,Series,Sci-Fi,French,Japan,2016,Sunday,84,5,60,57.47,27.3,8.7,8.47,9.5,81.6,75.36,269.47,Standard,381.67
NFX000069,Implemented holistic moratorium,Series,Romance,German,USA,2015,Monday,133,3,27,38.41,20.12,4.11,7.96,6.5,62.1,45.27,162.85,Premium,268.22
NFX000070,Optional dedicated portal,Series,Romance,English,USA,2020,Wednesday,150,1,11,51.67,19.02,5.61,7.68,6.1,53,54.73,220.33,Basic,302.69
NFX000071,Operative user-facing complexity,Series,Thriller,French,UK,2024,Friday,116,4,56,12.41,4.96,6.86,8.47,8,87.9,36.45,128.35,Premium,215.03
NFX000072,Triple-buffered analyzing implementation,Series,Fantasy,English,USA,2022,Monday,140,4,24,67.86,23.07,4.18,9.63,6.7,73,57.39,198.57,Premium,350.21
NFX000073,Automated object-oriented circuit,Movie,Fantasy,English,Canada,2019,Wednesday,95,0,1,46.91,11.57,1.28,3.36,5.2,53,36.19,86.7,Premium,218.94
NFX000074,Operative needs-based emulation,Movie,Documentary,Hindi,USA,2025,Wednesday,150,0,1,30.94,9.44,4.16,4.72,6.8,61.6,24.93,112.88,Standard,154.21
NFX000075,Diverse real-time open system,Movie,Action,Hindi,Japan,2023,Tuesday,130,0,1,43.51,10.15,5.88,8.86,7.9,83.9,36.46,170.34,Premium,211.33
NFX000076,Centralized fault-tolerant strategy,Movie,Action,German,Spain,2021,Sunday,112,0,1,57.66,25.43,7.24,1.46,5.8,48,73.28,246.52,Standard,291.24
NFX000077,Visionary global adapter,Movie,Sci-Fi,German,India,2017,Sunday,110,0,1,53.93,31.66,9.5,5.27,7.2,72.2,80.68,322.14,Basic,360.9
NFX000078,Profit-focused high-level groupware,Series,Drama,Hindi,Japan,2016,Wednesday,142,7,84,35.75,14.38,5.33,8.96,4.6,49.3,26.9,153.22,Standard,278.38
NFX000079,Optimized fault-tolerant structure,Movie,Romance,Hindi,Canada,2023,Saturday,99,0,1,5,2.72,4.76,5.16,7,60.5,27.4,74.71,Basic,115.07
NFX000080,Reverse-engineered modular secured line,Series,Drama,German,UK,2015,Tuesday,106,6,42,14.58,4.39,5.7,7.59,6.9,61,15.46,111.15,Basic,204.35
NFX000081,Ergonomic bandwidth-monitored core,Series,Action,Spanish,Canada,2024,Sunday,116,7,91,25.93,15.05,8.18,3.33,6.4,64.4,55,199.72,Basic,338.22
NFX000082,Multi-channeled bottom-line open system,Movie,Drama,French,India,2025,Thursday,139,0,1,77.42,13.25,4.46,1.33,5.9,59.8,25.27,159.03,Standard,290.21
NFX000083,Reactive client-server conglomeration,Series,Comedy,German,South Korea,2023,Wednesday,92,7,98,73.41,34,2.39,8.34,5.7,51.4,73.72,275.77,Premium,394.19
NFX000084,Streamlined attitude-oriented secured line,Series,Fantasy,Spanish,USA,2024,Monday,104,3,21,37.25,6.33,8.67,1.32,6.9,55,22.45,185.71,Standard,177.27
NFX000085,Enterprise-wide cohesive firmware,Movie,Romance,English,USA,2015,Friday,132,0,1,56.02,11.16,9.05,9.92,8.3,83.3,47.51,219.12,Standard,293.17
NFX000086,Progressive explicit productivity,Series,Action,Korean,Spain,2025,Friday,122,1,10,47.65,25.99,8.18,6.93,8.3,91.1,70.8,265.66,Basic,358.19
NFX000087,Profit-focused even-keeled Internet solution,Series,Sci-Fi,Spanish,USA,2025,Saturday,115,2,18,44.17,24.1,1.05,8.38,6.5,63.8,53.32,167.21,Standard,261.52
NFX000088,Reverse-engineered homogeneous paradigm,Movie,Fantasy,German,Spain,2016,Saturday,164,0,1,32.7,19.34,6.69,3.34,7,67.5,49.29,221.38,Premium,299.72
NFX000089,Upgradable transitional array,Movie,Action,Korean,USA,2015,Saturday,98,0,1,69.18,39.39,1.92,9.44,4.9,50.6,80.11,244.61,Standard,354.97
NFX000090,Realigned user-facing complexity,Series,Comedy,French,South Korea,2018,Friday,91,4,48,31,5.46,1.67,8.67,8.2,91.1,10.88,55.55,Standard,163.67
NFX000091,Realigned bandwidth-monitored structure,Series,Action,Korean,Japan,2020,Wednesday,138,3,24,16.04,3.59,8.15,7.24,5.3,63.5,26.01,141.81,Premium,226.96
NFX000092,Enterprise-wide responsive secured line,Movie,Sci-Fi,Korean,Japan,2016,Thursday,86,0,1,23.6,11.61,4.98,3.81,7.2,65.8,34.06,152.42,Premium,217.38
NFX000093,Focused object-oriented capability,Movie,Romance,Korean,Spain,2019,Sunday,127,0,1,43.36,25.4,2.67,8.82,7.5,80.8,53.36,204.6,Basic,260.18
NFX000094,Face-to-face grid-enabled data-warehouse,Series,Romance,Hindi,UK,2019,Sunday,147,4,36,51.46,28.83,9.71,2.67,8.6,74.1,72.9,327.52,Premium,361.93
NFX000095,Front-line background secured line,Series,Horror,Korean,UK,2022,Saturday,105,6,66,61.81,17.9,5.1,1.1,4.8,42.5,47.54,162.03,Basic,301.3
NFX000096,Balanced human-resource Graphical User Interface,Series,Thriller,French,USA,2026,Wednesday,87,7,77,54.58,25.98,7.74,2.31,6.6,78,66.63,267.56,Premium,385.85
NFX000097,Cross-group uniform system engine,Series,Comedy,German,Canada,2017,Tuesday,75,6,72,46.25,25.31,1.74,8.42,5.3,44.1,52.2,158.38,Premium,320.24
NFX000098,Sharable neutral product,Series,Sci-Fi,German,India,2021,Tuesday,131,4,52,47.66,26.37,6.35,6.55,5.4,55.2,62.78,263.83,Basic,366.63
NFX000099,Devolved local monitoring,Movie,Sci-Fi,Korean,Spain,2017,Sunday,152,0,1,58.03,24.31,8.05,5.33,9.1,87.3,68.52,288.11,Basic,412.91
NFX000100,Enterprise-wide even-keeled strategy,Series,Documentary,French,Spain,2017,Tuesday,138,3,21,36.52,21.52,4.03,2.64,6.2,66,36.81,172.7,Premium,261.49
NFX000101,Multi-tiered upward-trending definition,Series,Horror,Korean,India,2019,Tuesday,119,5,65,34.95,5.72,3.32,5.16,6.1,66.2,7.61,66.09,Premium,137.95
NFX000102,Adaptive content-based knowledge user,Movie,Comedy,German,UK,2015,Tuesday,138,0,1,85.03,27.89,6.46,6.38,7.5,64.8,55.38,289.17,Basic,329.56
NFX000103,Profit-focused bottom-line standardization,Series,Drama,Japanese,India,2016,Sunday,109,6,66,53.03,29.65,2.62,3.14,4.6,55.4,57.83,238.45,Basic,277.23
NFX000104,User-friendly 24hour matrix,Series,Thriller,German,UK,2025,Saturday,102,5,30,49.7,9.59,6.87,3.81,7.5,71.3,32.73,159.65,Premium,277.7
NFX000105,Networked fault-tolerant budgetary management,Series,Horror,Japanese,Canada,2019,Saturday,105,3,18,41.99,12.55,5.04,7.02,7.7,67.8,28.96,124.81,Premium,278.86
NFX000106,Customer-focused grid-enabled monitoring,Series,Fantasy,Korean,India,2015,Saturday,105,6,54,12.89,5.03,8.04,7.35,8.6,85.4,24.95,165.33,Standard,242.36
NFX000107,Team-oriented optimizing strategy,Series,Romance,German,India,2018,Sunday,132,7,91,42.38,24.17,3.85,5.57,5,52.8,40.7,261.53,Premium,290.4
NFX000108,Configurable optimizing Local Area Network,Series,Fantasy,Korean,Japan,2016,Tuesday,157,5,55,53.07,24.79,2.82,7.06,5.5,61.4,44.17,190.01,Standard,312.52
NFX000109,Assimilated multi-tasking encryption,Series,Comedy,French,South Korea,2020,Tuesday,125,6,60,58.37,31.47,7.92,2.02,5.9,60.1,76.68,343.93,Standard,374.12
NFX000110,Cloned dynamic utilization,Series,Action,Japanese,USA,2023,Tuesday,115,7,98,36.2,10.61,8.8,9.94,7.9,81.4,32.77,213.69,Basic,288.02
NFX000111,Extended executive monitoring,Movie,Documentary,French,India,2015,Saturday,137,0,1,60.8,19.4,3.67,6.84,5.9,47.3,48.12,212.02,Basic,278.79
NFX000112,Persistent incremental ability,Movie,Documentary,Korean,South Korea,2024,Friday,92,0,1,5,1.28,4.36,3.05,5.9,67.7,18.69,28.1,Standard,87.52
NFX000113,Function-based regional process improvement,Series,Drama,Hindi,Canada,2018,Thursday,131,3,30,12.39,4.52,4.55,5.94,6.5,72.8,21.03,100.99,Standard,175.96
NFX000114,Distributed empowering complexity,Movie,Documentary,Korean,USA,2024,Wednesday,107,0,1,43.75,24.96,4.16,1.91,3.7,29.1,47.73,215.76,Standard,273.15
NFX000115,Re-engineered cohesive superstructure,Series,Documentary,Japanese,Japan,2024,Saturday,123,2,24,75.29,20.53,4.72,2.1,6.4,56.3,55.63,198.43,Premium,305.24
NFX000116,Streamlined mission-critical capability,Movie,Horror,Hindi,South Korea,2024,Thursday,138,0,1,26.26,14.78,4.82,1.78,5.1,43,36.59,211.9,Standard,205.85
NFX000117,Intuitive cohesive parallelism,Movie,Documentary,Spanish,Japan,2024,Saturday,78,0,1,54.99,18.42,8.56,9.1,6.7,61.5,46.68,256.82,Standard,253.96
NFX000118,Digitized logistical artificial intelligence,Movie,Horror,Hindi,Spain,2020,Friday,103,0,1,69.95,35.97,7.9,2.35,5.3,57,78.74,383.68,Basic,310.16
NFX000119,Secured bottom-line middleware,Series,Drama,English,Japan,2015,Thursday,146,6,84,45.88,19.42,5.92,3.09,6,46.5,42.78,238.1,Basic,350.47
NFX000120,Optimized neutral Internet solution,Series,Thriller,English,South Korea,2018,Thursday,136,7,63,33.93,5.33,4.07,8.37,5,45.3,12.66,80.04,Standard,157.27
NFX000121,Monitored incremental flexibility,Movie,Horror,Spanish,South Korea,2016,Sunday,125,0,1,69.77,31.49,1.63,6.76,5.5,42.5,54.47,228.05,Standard,256.86
NFX000122,Automated static benchmark,Series,Documentary,Spanish,Canada,2024,Monday,153,6,54,41.22,24.62,6.96,6.02,6.7,67.9,60.13,238.6,Standard,362.18
NFX000123,Re-engineered cohesive parallelism,Movie,Fantasy,English,South Korea,2020,Tuesday,96,0,1,42.78,20.97,4.13,6.98,5.5,43.7,46.37,203.37,Premium,238.55
NFX000124,Customer-focused optimal artificial intelligence,Movie,Drama,German,USA,2016,Tuesday,171,0,1,69.54,18.47,8.09,8.78,7.9,76.7,47.39,209.04,Basic,236.36
NFX000125,Switchable executive installation,Movie,Thriller,Hindi,India,2017,Thursday,119,0,1,46.74,13.44,4.57,5.02,6.9,88.9,33.3,165.96,Premium,228.42
NFX000126,Switchable upward-trending analyzer,Movie,Sci-Fi,Korean,Japan,2016,Wednesday,98,0,1,43.02,19.51,5.79,7.49,6.6,61.6,51.6,218.16,Standard,260.43
NFX000127,Self-enabling multi-tasking flexibility,Movie,Comedy,German,Canada,2026,Tuesday,60,0,1,44.5,18.82,7.88,2.57,7.3,73.5,47.78,211.27,Standard,275.91
NFX000128,Seamless tangible Graphical User Interface,Movie,Drama,Spanish,Spain,2017,Saturday,90,0,1,46.08,13.38,5.56,4.96,6.7,71.3,28.79,144.35,Standard,220.56
NFX000129,Reactive intangible initiative,Series,Sci-Fi,English,Spain,2015,Saturday,72,7,56,18.38,4.51,5.36,7.79,7.2,79.1,15.29,124.55,Premium,238.22
NFX000130,Quality-focused coherent paradigm,Movie,Comedy,French,Canada,2018,Wednesday,132,0,1,26.55,10.07,9.97,8.33,6.6,70,49.51,189.09,Premium,209.09
NFX000131,Mandatory mobile paradigm,Movie,Drama,Spanish,Spain,2021,Thursday,99,0,1,79.29,24.53,5.73,5.33,5.4,44.7,54.45,212.2,Premium,294.05
NFX000132,Diverse asynchronous complexity,Series,Comedy,Japanese,Japan,2018,Wednesday,124,3,18,72.35,15.32,5.82,2.94,6,44.3,49.52,155.36,Basic,270.79
NFX000133,Centralized encompassing infrastructure,Series,Horror,English,UK,2016,Wednesday,122,1,14,59.65,30.71,6.53,8.74,6.1,60.1,69.8,267.6,Premium,328.55
NFX000134,User-friendly local concept,Series,Thriller,Korean,India,2017,Saturday,140,3,33,37.4,6.26,9.12,5.15,8.7,97.4,37.32,175,Premium,230.7
NFX000135,Devolved well-modulated service-desk,Series,Fantasy,German,UK,2018,Thursday,106,1,10,32.91,5.5,7.72,6.93,7.2,72.8,13.17,152.52,Standard,180.91
NFX000136,Quality-focused web-enabled hardware,Series,Action,German,India,2022,Sunday,127,2,22,44.64,22.26,6.95,2.67,7.5,75.2,49.73,241.29,Basic,306.9
NFX000137,Cross-group uniform forecast,Series,Horror,Hindi,Canada,2019,Thursday,126,2,24,16.56,4.02,2.09,6.54,7.3,82.8,8.2,74.03,Premium,157.02
NFX000138,Pre-emptive upward-trending time-frame,Series,Action,English,UK,2018,Sunday,87,1,14,50.37,28.42,5.69,6.55,7,76.9,51.89,233.58,Standard,297.83
NFX000139,Reverse-engineered discrete emulation,Movie,Horror,Hindi,South Korea,2022,Sunday,131,0,1,35.32,8.44,8.98,6.81,7.3,68.3,32.32,190.99,Standard,194.05
NFX000140,Team-oriented background alliance,Series,Romance,Japanese,Japan,2017,Wednesday,100,6,84,77.15,37.55,6.02,2.63,5.9,58.2,79.2,331.85,Premium,451.78
NFX000141,Public-key bi-directional data-warehouse,Movie,Fantasy,Hindi,USA,2024,Tuesday,88,0,1,36.52,12.27,7.82,7.69,6.6,68,42.74,195.02,Premium,184.67
NFX000142,Decentralized dynamic Internet solution,Series,Horror,Japanese,Canada,2023,Tuesday,99,3,42,40.34,6.22,3.22,7.54,7.6,89.4,19.61,61.7,Premium,218.34
NFX000143,Stand-alone exuding paradigm,Series,Horror,Korean,Canada,2018,Monday,130,4,32,58.73,22.66,8.63,8.56,5.7,63.4,57.52,289.85,Basic,295.88
NFX000144,Proactive secondary standardization,Series,Sci-Fi,Korean,Japan,2017,Tuesday,65,7,70,45.12,21.43,8.98,6.34,6.1,57.7,50.63,282.89,Standard,328.98
NFX000145,Reduced composite circuit,Series,Horror,Japanese,Spain,2024,Wednesday,135,7,56,47.53,19.14,6.05,6.43,6.1,65.7,42.46,205.52,Standard,308.62
NFX000146,Automated secondary project,Series,Action,French,UK,2025,Wednesday,105,7,42,35.94,16.84,8.1,5.66,6,53.3,45.84,232.14,Standard,260.5
NFX000147,User-centric needs-based implementation,Series,Sci-Fi,English,Japan,2020,Tuesday,76,7,77,60.46,17.22,2.56,6.74,6.9,68.9,37.63,114.19,Standard,327.12
NFX000148,Programmable client-server middleware,Movie,Fantasy,German,Japan,2019,Tuesday,105,0,1,78.51,21.42,5.66,3.69,7.2,69,51.88,209.58,Basic,335.54
NFX000149,Mandatory grid-enabled Graphical User Interface,Movie,Horror,Spanish,Japan,2022,Friday,103,0,1,63.18,10.89,9.14,9.18,9.5,87,37.61,218.7,Premium,234.83
NFX000150,Digitized exuding implementation,Series,Comedy,German,India,2016,Wednesday,127,1,9,25.93,15.26,4.34,4.86,5.6,36.6,40.57,171.4,Basic,196.27
NFX000151,Networked mobile benchmark,Series,Thriller,Spanish,USA,2019,Saturday,122,6,84,52.03,10.8,8.94,4.54,8.8,92.4,39.36,198.81,Premium,324.45
NFX000152,Proactive holistic middleware,Movie,Romance,English,USA,2015,Friday,139,0,1,30.93,12.51,5.18,9.75,5.6,50.1,28.83,156.77,Standard,214.09
NFX000153,Persistent 5thgeneration circuit,Movie,Horror,English,Canada,2024,Monday,123,0,1,65.24,33.03,5.94,6.52,4.5,41.5,65.86,282.93,Premium,278.49
NFX000154,Seamless solution-oriented budgetary management,Series,Horror,Korean,UK,2018,Wednesday,111,6,48,58,20.77,4.71,6.86,5.8,52.8,42.81,185.62,Basic,276.89
NFX000155,Seamless user-facing array,Movie,Romance,German,UK,2020,Monday,102,0,1,16.08,8.76,8.92,8.84,8.1,68.5,38.02,184.8,Basic,195.91
NFX000156,Reverse-engineered local secured line,Series,Horror,English,Spain,2023,Saturday,88,3,39,108.86,34.55,5.07,4.58,6.1,71.2,68.79,264.48,Premium,368.72
